order_id,customer,city,amount,date
1,Sepi,Dubai,742,2024-09-27
2,Ana,Rome,469,2024-02-08
3,Sara,Milan,290,2024-02-09
4,Ana,Tehran,416,2024-08-03
5,Mike,Milan,252,2024-05-25
6,Jill,Rome,360,2024-08-12
7,Mike,Dubai,125,2024-03-21
8,John,Vancouver,92,2024-10-15
9,Sepi,Rome,156,2024-04-25
10,Sam,Vancouver,288,2024-05-21
11,Ana,Rome,590,2024-02-16
12,Sepi,Dubai,513,2024-07-08
13,Ana,Belgerade,613,2024-04-15
14,Jill,Dubai,85,2024-09-12
15,Jill,Rome,361,2024-11-28
16,Sara,Paris,493,2024-12-16
17,John,Rome,654,2024-03-20
18,Sam,Rome,614,2024-07-02
19,John,Tehran,161,2024-06-06
20,Sam,Paris,122,2024-01-26
21,Jill,Tehran,935,2024-11-18
22,Ana,Paris,334,2024-06-18
23,Sepi,Tehran,955,2024-11-08
24,Sara,Milan,963,2024-09-19
25,Sara,Paris,685,2024-02-17
26,John,Dubai,746,2024-08-08
27,Jill,Belgerade,833,2024-12-22
28,Sara,Paris,404,2024-07-21
29,Mike,Tehran,823,2024-05-19
30,Ana,Dubai,209,2024-09-21
31,Sepi,Milan,583,2024-07-14
32,Jill,Belgerade,462,2024-01-16
33,Jill,Paris,690,2024-06-06
34,Sam,Tehran,96,2024-04-13
35,Sepi,Paris,188,2024-10-01
36,John,Paris,463,2024-01-26
37,Sepi,Milan,489,2024-01-19
38,Jill,Vancouver,136,2024-12-27
39,Mike,Paris,361,2024-02-28
40,Sara,Rome,232,2024-02-04
41,Sara,Paris,730,2024-08-05
42,Ana,Dubai,679,2024-09-12
43,John,Paris,768,2024-06-17
44,Sara,Tehran,401,2024-10-15
45,Sara,Tehran,625,2024-05-21
46,Sam,Belgerade,986,2024-01-04
47,Mike,Paris,590,2024-06-04
48,Sepi,Belgerade,134,2024-12-09
49,Sepi,Dubai,682,2024-07-21
50,John,Tehran,885,2024-10-29
51,Sam,Belgerade,723,2024-02-13
52,Jill,Belgerade,224,2024-07-11
53,Jill,Vancouver,522,2024-10-03
54,Ana,Milan,216,2024-09-05
55,Mike,Dubai,921,2024-09-27
56,Ana,Milan,354,2024-09-25
57,Ana,Rome,889,2024-03-10
58,Sara,Milan,907,2024-06-25
59,Mike,Vancouver,682,2024-04-01
60,Mike,Dubai,330,2024-11-21
61,Sara,Rome,225,2024-03-05
62,Mike,Vancouver,949,2024-11-27
63,Sepi,Rome,318,2024-08-31
64,Sepi,Paris,383,2024-01-04
65,Sam,Dubai,968,2024-05-27
66,John,Milan,421,2024-06-06
67,Sepi,Vancouver,735,2024-09-09
68,Mike,Vancouver,834,2024-03-31
69,John,Milan,348,2024-11-12
70,Sam,Rome,894,2024-02-07
71,Mike,Tehran,644,2024-08-24
72,Mike,Vancouver,125,2024-03-28
73,Jill,Milan,74,2024-08-15
74,Jill,Vancouver,780,2024-05-06
75,Sam,Vancouver,302,2024-01-08
76,Sepi,Milan,620,2024-10-12
77,Mike,Tehran,750,2024-07-14
78,John,Tehran,429,2024-09-07
79,Jill,Milan,992,2024-01-18
80,John,Paris,829,2024-08-19
81,Sam,Paris,157,2024-01-20
82,Sam,Milan,243,2024-03-16
83,Jill,Belgerade,739,2024-07-26
84,Sam,Rome,416,2024-07-12
85,Mike,Milan,130,2024-05-08
86,Ana,Rome,981,2024-04-04
87,Sara,Vancouver,425,2024-05-15
88,John,Tehran,165,2024-02-04
89,Ana,Tehran,473,2024-11-26
90,Jill,Rome,446,2024-01-04
91,Mike,Dubai,332,2024-02-08
92,Sepi,Belgerade,78,2024-01-31
93,Jill,Rome,67,2024-08-13
94,Ana,Belgerade,835,2024-04-24
95,Jill,Belgerade,741,2024-06-05
96,Sam,Belgerade,158,2024-10-11
97,Jill,Belgerade,442,2024-11-20
98,Sam,Milan,544,2024-11-17
99,Jill,Rome,395,2024-11-05
100,Jill,Tehran,290,2024-08-02
101,Sara,Paris,955,2024-12-21
102,Jill,Milan,513,2024-03-01
103,Sepi,Vancouver,207,2024-12-28
104,John,Paris,556,2024-06-26
105,Sara,Dubai,618,2024-04-08
106,Sam,Vancouver,367,2024-09-02
107,Sam,Tehran,914,2024-03-01
108,Mike,Vancouver,160,2024-11-19
109,Sara,Paris,501,2024-11-16
110,Sam,Vancouver,801,2024-09-15
111,Sam,Rome,975,2024-10-30
112,John,Rome,706,2024-05-26
113,Sepi,Belgerade,625,2024-05-10
114,John,Paris,165,2024-11-18
115,Jill,Rome,373,2024-01-02
116,Mike,Tehran,292,2024-10-02
117,Sam,Tehran,386,2024-03-02
118,Ana,Dubai,791,2024-03-15
119,Sam,Milan,987,2024-03-17
120,Sara,Dubai,932,2024-01-24
121,Sepi,Dubai,58,2024-04-01
122,Mike,Tehran,454,2024-05-25
123,John,Dubai,251,2024-07-04
124,Sam,Rome,582,2024-07-27
125,Sam,Tehran,880,2024-04-18
126,Sepi,Tehran,90,2024-11-29
127,Ana,Belgerade,276,2024-12-14
128,John,Dubai,274,2024-04-09
129,Sara,Tehran,293,2024-10-22
130,Sara,Rome,185,2024-07-30
131,Jill,Vancouver,560,2024-10-22
132,John,Milan,196,2024-10-05
133,John,Tehran,736,2024-09-19
134,Mike,Milan,464,2024-06-02
135,Ana,Paris,394,2024-12-01
136,Sam,Paris,87,2024-10-10
137,Sam,Milan,362,2024-04-07
138,Sam,Paris,114,2024-07-03
139,Ana,Belgerade,753,2024-10-26
140,Mike,Belgerade,217,2024-10-02
141,John,Belgerade,317,2024-07-15
142,Sara,Paris,614,2024-09-08
143,Sepi,Paris,88,2024-05-17
144,Ana,Vancouver,401,2024-06-09
145,Sam,Tehran,234,2024-11-28
146,Sam,Vancouver,562,2024-04-14
147,Jill,Vancouver,576,2024-03-01
148,John,Rome,331,2024-09-18
149,Sepi,Rome,460,2024-09-21
150,Sepi,Rome,946,2024-02-12
151,Sara,Dubai,974,2024-01-28
152,Ana,Dubai,904,2024-08-07
153,Jill,Vancouver,904,2024-03-12
154,Sara,Rome,540,2024-02-16
155,Sara,Rome,761,2024-09-03
156,Sara,Rome,808,2024-01-18
157,John,Dubai,790,2024-10-25
158,Jill,Milan,243,2024-02-22
